day_hour,no_of_clients,count_Row,get,post,head
2019-01-28 3,35,35,33,2,0
2019-01-11 7,13,13,10,3,0
2019-01-16 10,4,4,1,3,0
2019-01-19 1,12,12,9,3,0
2019-01-21 6,12,12,9,3,0
2019-01-19 10,9,9,6,3,0
2019-01-23 2,11,11,8,3,0
2019-01-28 5,11,11,8,3,0
2019-01-13 6,10,10,7,3,0
2019-01-14 9,12,12,9,3,0
2019-01-29 7,9,9,6,3,0
2019-01-11 1,8,8,5,3,0
2019-01-16 6,7,7,4,3,0
2019-01-18 11,8,8,6,2,0
2019-01-24 1,11,11,8,3,0
2019-01-22 1,2313,2313,1940,373,0
2019-01-27 9,10,10,7,3,0
2019-01-30 10,9,9,6,3,0
2019-01-15 4,11,11,8,3,0
2019-01-14 4,10,10,7,3,0
2019-01-18 9,10,10,8,2,0
2019-01-28 0,8,8,5,3,0
2019-01-29 5,10,10,7,3,0
2019-01-23 7,12,12,9,3,0
2019-01-13 2,7,7,4,3,0
2019-01-14 2,7,7,4,3,0
2019-01-10 5,11,11,9,2,0
2019-01-18 7,13,13,12,1,0
2019-01-17 8,13,13,10,3,0
2019-01-21 8,17,17,14,3,0
2019-01-28 11,8,8,5,3,0
2019-01-25 6,10,10,8,2,0
2019-01-19 3,27,27,24,3,0
2019-01-18 0,13,13,10,3,0
2019-01-20 1,11,11,8,3,0
2019-01-27 10,9,9,6,3,0
2019-01-21 11,10,10,7,3,0
2019-01-22 0,2358,2358,1957,401,0
2019-01-12 11,13,13,10,3,0
2019-01-13 10,7,7,4,3,0
2019-01-14 3,37,37,34,3,0
2019-01-10 7,11,11,8,3,0
2019-01-22 10,2276,2276,1932,344,0
2019-01-19 8,11,11,8,3,0
2019-01-29 11,12,12,9,3,0
2019-01-14 10,12,12,9,3,0
2019-01-21 1,10,10,7,3,0
2019-01-15 10,9,9,6,3,0
2019-01-23 6,11,11,8,3,0
2019-01-24 5,10,10,7,3,0
2019-01-13 8,15,15,12,3,0
2019-01-19 2,6,6,3,3,0
2019-01-24 9,9,9,6,3,0
2019-01-30 2,10,10,7,3,0
2019-01-10 8,6,6,3,3,0
2019-01-18 5,6,6,3,3,0
2019-01-20 5,9,9,6,3,0
2019-01-16 4,9,9,6,3,0
2019-01-25 9,11,11,8,3,0
2019-01-16 9,5,5,2,3,0
2019-01-24 8,10,10,7,3,0
2019-01-31 1,12,12,9,3,0
2019-01-11 10,11,11,8,3,0
2019-01-17 5,11,11,8,3,0
2019-01-31 3,30,30,27,3,0
2019-01-21 2,9,9,6,3,0
2019-01-21 9,11,11,8,3,0
2019-01-29 0,13,13,10,3,0
2019-01-30 6,13,13,10,3,0
2019-01-17 3,29,29,26,3,0
2019-01-12 9,12,12,9,3,0
2019-01-24 3,30,30,27,3,0
2019-01-15 8,7,7,4,3,0
2019-01-28 10,7,7,4,3,0
2019-01-18 10,17,17,14,3,0
2019-01-29 8,13,13,10,3,0
2019-01-22 6,2302,2302,1947,355,0
2019-01-25 5,11,11,8,3,0
2019-01-31 11,14,14,11,3,0
2019-01-27 3,32,32,29,3,0
2019-01-29 6,7,7,4,3,0
2019-01-13 5,9,9,6,3,0
2019-01-15 0,16,16,13,3,0
2019-01-28 8,8,8,5,3,0
2019-01-19 4,13,13,10,3,0
2019-01-19 7,14,14,11,3,0
2019-01-20 10,11,11,8,3,0
2019-01-10 10,8,8,5,3,0
2019-01-20 0,10,10,7,3,0
2019-01-16 1,12,12,10,2,0
2019-01-16 0,7,7,4,3,0
2019-01-13 7,11,11,8,3,0
2019-01-30 7,13,13,10,3,0
2019-01-31 7,6,6,4,2,0
2019-01-11 6,13,13,10,3,0
2019-01-12 10,14,14,11,3,0
2019-01-27 5,13,13,10,3,0
2019-01-26 11,10,10,7,3,0
2019-01-27 4,7,7,5,2,0
2019-01-20 7,13,13,11,2,0
2019-01-27 8,14,14,11,3,0
2019-01-25 0,13,13,10,3,0
2019-01-25 1,13,13,10,3,0
2019-01-27 0,13,13,10,3,0
2019-01-24 10,11,11,8,3,0
2019-01-28 6,10,10,7,3,0
2019-01-31 6,6,6,3,3,0
2019-01-15 1,11,11,8,3,0
2019-01-15 7,13,13,10,3,0
2019-01-19 9,12,12,9,3,0
2019-01-26 5,10,10,7,3,0
2019-01-30 5,10,10,7,3,0
2019-01-27 11,10,10,7,3,0
2019-01-26 10,9,9,6,3,0
2019-01-25 4,8,8,5,3,0
2019-01-27 7,8,8,5,3,0
2019-01-10 0,8,8,6,2,0
2019-01-26 8,10,10,7,3,0
2019-01-13 0,10,10,7,3,0
2019-01-17 9,7,7,4,3,0
2019-01-28 1,9,9,6,3,0
2019-01-14 6,12,12,9,3,0
2019-01-17 11,11,11,8,3,0
2019-01-22 2,2281,2281,1916,365,0
2019-01-12 7,15,15,12,3,0
2019-01-15 11,8,8,5,3,0
2019-01-26 4,5,5,2,3,0
2019-01-12 8,10,10,7,3,0
2019-01-23 0,14,14,11,3,0
2019-01-10 1,12,12,9,3,0
2019-01-12 0,8,8,5,3,0
2019-01-13 9,10,10,7,3,0
2019-01-20 9,13,13,10,3,0
2019-01-11 8,8,8,5,3,0
2019-01-25 11,5,5,2,3,0
2019-01-11 0,8,8,5,3,0
2019-01-16 2,12,12,9,3,0
2019-01-30 0,14,14,11,3,0
2019-01-30 9,6,6,3,3,0
2019-01-30 11,10,10,7,3,0
2019-01-22 3,2130,2130,1979,147,4
2019-01-25 8,13,13,10,3,0
2019-01-12 1,11,11,8,3,0
2019-01-29 1,7,7,4,3,0
2019-01-14 0,8,8,5,3,0
2019-01-11 5,8,8,5,3,0
2019-01-20 11,5,5,3,2,0
2019-01-25 3,29,29,26,3,0
2019-01-24 2,13,13,10,3,0
2019-01-19 11,10,10,7,3,0
2019-01-10 3,30,30,27,3,0
2019-01-31 2,12,12,9,3,0
2019-01-12 2,9,9,6,3,0
2019-01-23 8,8,8,5,3,0
2019-01-15 3,34,34,31,3,0
2019-01-17 4,7,7,5,2,0
2019-01-18 1,14,14,11,3,0
2019-01-29 9,5,5,3,2,0
2019-01-23 1,9,9,6,3,0
2019-01-27 6,19,19,16,3,0
2019-01-22 9,2195,2195,1856,339,0
2019-01-17 0,9,9,6,3,0
2019-01-20 4,9,9,6,3,0
2019-01-29 4,10,10,7,3,0
2019-01-16 7,11,11,8,3,0
2019-01-14 1,12,12,9,3,0
2019-01-26 2,13,13,11,2,0
2019-01-19 0,13,13,11,2,0
2019-01-20 3,30,30,27,3,0
2019-01-29 3,32,32,29,3,0
2019-01-17 1,5,5,2,3,0
2019-01-30 4,11,11,8,3,0
2019-01-18 3,29,29,26,3,0
2019-01-12 5,4,4,1,3,0
2019-01-11 11,13,13,10,3,0
2019-01-23 10,7,7,4,3,0
2019-01-29 10,12,12,9,3,0
2019-01-20 2,16,16,13,3,0
2019-01-24 0,11,11,8,3,0
2019-01-13 1,13,13,10,3,0
2019-01-14 11,12,12,9,3,0
2019-01-22 8,2262,2262,1918,344,0
2019-01-25 2,10,10,7,3,0
2019-01-31 9,11,11,8,3,0
2019-01-13 3,32,32,30,2,0
2019-01-10 2,10,10,7,3,0
2019-01-13 11,11,11,8,3,0
2019-01-18 4,9,9,6,3,0
2019-01-22 5,2320,2320,1948,372,0
2019-01-14 7,7,7,4,3,0
2019-01-17 7,8,8,5,3,0
2019-01-23 11,8,8,5,3,0
2019-01-27 2,15,15,12,3,0
2019-01-28 2,7,7,4,3,0
2019-01-31 10,11,11,8,3,0
2019-01-24 7,14,14,11,3,0
2019-01-31 4,12,12,9,3,0
2019-01-26 3,37,37,34,3,0
2019-01-17 6,12,12,9,3,0
2019-01-19 6,9,9,6,3,0
2019-01-15 2,8,8,5,3,0
2019-01-15 6,10,10,7,3,0
2019-01-10 11,7,7,4,3,0
2019-01-12 4,10,10,7,3,0
2019-01-16 11,6,6,3,3,0
2019-01-21 0,16,16,13,3,0
2019-01-29 2,9,9,6,3,0
2019-01-30 1,17,17,14,3,0
2019-01-23 3,31,31,28,3,0
2019-01-10 6,9,9,6,3,0
2019-01-27 1,8,8,5,3,0
2019-01-26 0,10,10,8,2,0
2019-01-10 9,8,8,5,3,0
2019-01-11 9,16,16,13,3,0
2019-01-13 4,11,11,8,3,0
2019-01-14 5,10,10,7,3,0
2019-01-16 5,11,11,8,3,0
2019-01-28 9,10,10,7,3,0
2019-01-31 0,12,12,9,3,0
2019-01-15 9,13,13,10,3,0
2019-01-18 6,10,10,7,3,0
2019-01-22 4,2358,2358,1990,368,0
2019-01-11 3,28,28,25,3,0
2019-01-12 6,6,6,3,3,0
2019-01-31 5,7,7,5,2,0
2019-01-16 8,9,9,6,3,0
2019-01-17 2,12,12,9,3,0
2019-01-21 4,14,14,11,3,0
2019-01-10 4,14,14,11,3,0
2019-01-23 5,12,12,10,2,0
2019-01-21 3,34,34,31,3,0
2019-01-31 8,8,8,5,3,0
2019-01-14 8,10,10,7,3,0
2019-01-21 7,11,11,8,3,0
2019-01-25 7,10,10,7,3,0
2019-01-28 4,9,9,6,3,0
2019-01-12 3,32,32,29,3,0
2019-01-26 6,9,9,6,3,0
2019-01-20 8,12,12,9,3,0
2019-01-18 2,10,10,7,3,0
2019-01-25 10,12,12,9,3,0
2019-01-26 7,13,13,10,3,0
2019-01-16 3,28,28,25,3,0
2019-01-18 8,12,12,9,3,0
2019-01-20 6,6,6,3,3,0
2019-01-24 4,12,12,9,3,0
2019-01-21 5,14,14,11,3,0
2019-01-28 7,8,8,5,3,0
2019-01-22 7,2386,2386,2004,382,0
2019-01-11 4,8,8,5,3,0
2019-01-15 5,10,10,7,3,0
2019-01-26 1,10,10,7,3,0
2019-01-11 2,8,8,5,3,0
2019-01-30 3,28,28,26,2,0
2019-01-19 5,8,8,5,3,0
2019-01-22 11,2348,2348,1962,386,0
2019-01-21 10,9,9,6,3,0
2019-01-24 6,11,11,8,3,0
2019-01-26 9,12,12,9,3,0
2019-01-17 10,15,15,12,3,0
2019-01-23 4,12,12,9,3,0
2019-01-23 9,10,10,7,3,0
2019-01-30 8,11,11,8,3,0
2019-01-24 11,13,13,10,3,0
